"","Speaker","Text","Scene","Episode","line_order_in_episode"
"6174","robert, earl of grantham"," Write to him. Tell him of your plans with Carlisle. You owe him that.",9,"02x04 - Episode Four",118
"6175","lady mary"," I don't think I owe him anything. But I'll write to him if you like.",9,"02x04 - Episode Four",119
"6176","isobel crawley"," I'll try to send you an address, but you can always get me through the Red Cross.",10,"02x04 - Episode Four",120
"6177","mr molesley"," Very good, Ma'am.",10,"02x04 - Episode Four",121
"6178","isobel crawley"," And I'll try to contact Captain Crawley, explain to him what's happened. If he does get leave, he'll probably come to me or stay in London. But if I miss him, and he turns up here, I know you'll look after him.",10,"02x04 - Episode Four",122
"6179","mrs bird"," Of course I will, Ma'am.",10,"02x04 - Episode Four",123
"6180","isobel crawley"," Cook him what he likes, not what's good for him.",10,"02x04 - Episode Four",124
"6181","mrs bird"," Y--you don't know when you'll be back?",10,"02x04 - Episode Four",125
"6182","isobel crawley"," I don't think one knows anything in wartime. I'll try to give you warning. But in the mean time, look after yourselves. Now, I mustn't miss my train.",10,"02x04 - Episode Four",126
"6183","mr molesley"," So, what now?",10,"02x04 - Episode Four",127
"6184","lady mary"," Anna said you were honouring us with your presence at dinner.",11,"02x04 - Episode Four",128
"6185","lady sybil"," It's easier here in the hospital. And I can always get changed back into my uniform if I need to.",11,"02x04 - Episode Four",129
"6186","lady mary"," What were you talking to Branson about? When I came into the yard?",11,"02x04 - Episode Four",130
"6187","lady sybil"," Nothing.",11,"02x04 - Episode Four",131
"6188","lady mary"," Then why were you there?",11,"02x04 - Episode Four",132
"6189","lady sybil"," Why were you there?",11,"02x04 - Episode Four",133
"6190","lady mary"," Because I was ordering the motor. That is why one talks to chauffeurs, isn't it? To plan journeys by road.",11,"02x04 - Episode Four",134
"6191","lady sybil"," He is a person. He can discuss other things.",11,"02x04 - Episode Four",135
"6192","lady mary"," I'm sure he can. But not with you.",11,"02x04 - Episode Four",136
"6193","lady sybil"," What do you want from me? Am I to see if Sir Richard Carlisle has a younger brother? One who's even richer than he is?",11,"02x04 - Episode Four",137
"6194","lady mary"," Darling, what's the matter with you? I'm on your side.",11,"02x04 - Episode Four",138
"6195","lady sybil"," Then be on my side!",11,"02x04 - Episode Four",139
"6196","lady mary"," ""So there we have it. I look forward to introducing the two of you, just as soon as you are next at home, which naturally, I trust will be very soon indeed. Please be glad for me, as I will always be for you. Your affectionate cousin, Mary.""",12,"02x04 - Episode Four",140
"6197","matthew"," No, we don't need anyone with us. The Sergeant knows what we're doing.",12,"02x04 - Episode Four",141
"6198","william"," But what are we patrol in for?",12,"02x04 - Episode Four",142
"6199","matthew"," You've been taking those logic pills again. This is the army, Mason. We're going on a patrol, because we're going on a patrol.",12,"02x04 - Episode Four",143
"6200","william"," Has Mary set a date yet for the wedding?",12,"02x04 - Episode Four",144
"6201","matthew"," She doesn't say. I think she's hoping the war will be over soon and they can set a date then.",12,"02x04 - Episode Four",145
"6202","william"," She could've waited and told you when she saw you.",12,"02x04 - Episode Four",146
"6203","matthew"," I don't think she knows I'm due back. Have you warned Daisy or will it be a surprise?",12,"02x04 - Episode Four",147
"6204","william"," No, I told her we're coming to Downton first. Then I'll visit me dad and go back to see her for a day at the end.",12,"02x04 - Episode Four",148
"6205","matthew"," Just think fresh Yorkshire air followed by London and Miss Swire.",12,"02x04 - Episode Four",149
"6206","william"," All right for some, sir.",12,"02x04 - Episode Four",150
"6207","matthew"," You'd never swap though, would you?",12,"02x04 - Episode Four",151
"6208","william"," No, I'd never swap.",12,"02x04 - Episode Four",152
"6209","miss o'brien"," Bates in a pub? I can't see that. I think your pal's mistaken.",13,"02x04 - Episode Four",153
"6210","thomas"," He met him here twice before the war. Listen, ""I said to him, 'Hello, Mr Bates.' and he walked off and wouldn't serve me after.""",13,"02x04 - Episode Four",154
"6211","miss o'brien"," Next thing you know, we'll have Anna running across the county dragging him back by his stick.",13,"02x04 - Episode Four",155
"6212","thomas"," I'm surprised he isn't here of his own accord with His Lordship having no valet since the loony went.",13,"02x04 - Episode Four",156
"6213","miss o'brien"," Don't speak ill of Mr Lang.",13,"02x04 - Episode Four",157
"6214","thomas"," You're a funny one. Talk about sweet and sour. Better get back.",13,"02x04 - Episode Four",158
"6215","mrs bird"," Want a cup?",14,"02x04 - Episode Four",159
"6216","mr molesley"," Not really.",14,"02x04 - Episode Four",160
"6217","mrs bird"," What were you doing?",14,"02x04 - Episode Four",161
"6218","mr molesley"," Let's see. I've tidied the study, twice. And I've rearranged the coats in the hall. I might check his clothes for moth. What about you?",14,"02x04 - Episode Four",162
"6219","mrs bird"," We've cleaned everything three times over. And I've sent Beth into the village for some eggs to pickle, though the mistress doesn't really like them.",14,"02x04 - Episode Four",163
"6220","stranger"," Beg pardon for troubling you, only the door was open.",14,"02x04 - Episode Four",164
"6221","mr molesley"," Yeah, but the front gate was not.",14,"02x04 - Episode Four",165
"6222","stranger"," No.",14,"02x04 - Episode Four",166
"6223","mrs bird"," What do you want?",14,"02x04 - Episode Four",167
"6224","stranger"," Have you got any spare food?",14,"02x04 - Episode Four",168
"6225","mrs bird"," Spare food? What's that when it's at home?",14,"02x04 - Episode Four",169
"6226","mr molesley"," Hang on, hang on. Wait. You from around here?",14,"02x04 - Episode Four",170
"6227","stranger"," Not far. I used to work on the farm once, but, er...",14,"02x04 - Episode Four",171
"6228","stranger"," Not anymore.",14,"02x04 - Episode Four",172
"6229","mr molesley"," You get that in the war?",14,"02x04 - Episode Four",173
"6230","stranger"," Don't pity me. I'm one of the lucky ones.",14,"02x04 - Episode Four",174
"6231","mrs bird"," I might have something for you.",14,"02x04 - Episode Four",175
"6232","mr molesley"," Come on.",14,"02x04 - Episode Four",176
"6233","mr carson"," Hello, Mr Molesley.",16,"02x04 - Episode Four",177
"6234","mr molesley"," They told me you were up here. I hope you don't mind my bothering you.",16,"02x04 - Episode Four",178
"6235","mr carson"," Not a bit. What can I do for you?",16,"02x04 - Episode Four",179
"6236","mr molesley"," Well, actually, Mr Carson I've been thinking there might be something I could do for you.",16,"02x04 - Episode Four",180
"6237","mr carson"," Mm?",16,"02x04 - Episode Four",181
"6238","mr molesley"," That brushing, for instance.",16,"02x04 - Episode Four",182
"6239","mr molesley"," I don't like having nothing to do. What with Captain Crawley away at the war and with his mother in France alongside him, and then His Lordship's without a valet a--and your plate is piled so high.",16,"02x04 - Episode Four",183
"6240","mr carson"," I am quite occupied, it's true.",16,"02x04 - Episode Four",184
"6241","mr molesley"," So, I thought I'd look in and give you a hand. Brushing, mending, cleaning shoes, whatever's needed.",16,"02x04 - Episode Four",185
"6242","mr carson"," Well, that's kind of you, Mr Molesley. We shall have to watch ourselves or else His Lordship will want to pinch you off Captain Crawley.",16,"02x04 - Episode Four",186
"6243","daisy mason"," But he said he'd be here by now and he's not.",17,"02x04 - Episode Four",187
"6244","mrs hughes"," You mustn't worry about him, Daisy.",17,"02x04 - Episode Four",188
"6245","daisy mason"," I'm not worried like that exactly. But this is William. I think we should all be worried.",17,"02x04 - Episode Four",189
"6246","mrs hughes"," Anything might've happened. Maybe his leave was cancelled. At times like these, people vanish and turn up again in the strangest places.",17,"02x04 - Episode Four",190
"6247","daisy mason"," Like Mr Bates in that pub.",17,"02x04 - Episode Four",191
"6248","mr carson"," Working in a public house?",18,"02x04 - Episode Four",192
"6249","daisy mason"," That's what he said. I thought they'd have told you.",18,"02x04 - Episode Four",193
"6250","mr carson"," That doesn't seem likely that a trained valet like Mr Bates would be content to work in a public house.",18,"02x04 - Episode Four",194
"6251","daisy mason"," Well, that's what he said.",18,"02x04 - Episode Four",195
"6252","mr carson"," Have you mentioned this to Anna?",18,"02x04 - Episode Four",196
"6253","daisy mason"," I haven't said anything to anyone. I thought you all knew. Perhaps you should ask Thomas.",18,"02x04 - Episode Four",197
"6254","mr carson"," Oh, I will ask Thomas, don't you worry about that, my girl.",18,"02x04 - Episode Four",198
"6255","robert, earl of grantham"," Didn't it occur to you that we might be interested to hear it?",19,"02x04 - Episode Four",199
"6256","thomas"," Not particularly. As far as I knew, Mr Bates had left your employment.",19,"02x04 - Episode Four",200
"6257","robert, earl of grantham"," You didn't think to tell Carson?",19,"02x04 - Episode Four",201
"6258","thomas"," I'm not under Mr Carson's command now, Your Lordship.",19,"02x04 - Episode Four",202
"6259","thomas"," Thank you, Daisy for telling Mr Carson all about my private letter.",20,"02x04 - Episode Four",203
"6260","daisy mason"," I didn't know it was a secret. Sorry if I was wrong.",20,"02x04 - Episode Four",204
"6261","thomas"," There's no ""if"" about it.",20,"02x04 - Episode Four",205
"6262","miss o'brien"," Why answer His Lordship at all?",20,"02x04 - Episode Four",206
"6263","thomas"," What did you want me to do? Tell him to get knotted?",20,"02x04 - Episode Four",207
"6264","miss o'brien"," He doesn't pay your wages.",20,"02x04 - Episode Four",208
"6265","thomas"," I'll say. But I won't put you down for a career in diplomacy, then.",20,"02x04 - Episode Four",209
"6266","miss o'brien"," What's he after? To get Bates back?",20,"02x04 - Episode Four",210
"6267","thomas"," If Mr Bates wanted his job back, he'd have written for it himself.",20,"02x04 - Episode Four",211
"6268","ethel"," Why would he want his job back? He's like you, he got away.",20,"02x04 - Episode Four",212
"6269","thomas"," He's not very like me, thank you.",20,"02x04 - Episode Four",213
"6270","ethel"," But you're both free of all the bowing and scraping and ""Yes, my lord"" and ""No, my lord."" I envy him. I envy you. 'Cause I'm ready for a new adventure and I don't care who hears me.",20,"02x04 - Episode Four",214
"6271","miss o'brien"," Well, you know what they say, be careful what you wish for.",20,"02x04 - Episode Four",215
"6272","tom","But the truth is, I'll stay at Downton until you want to run away with me.",21,"02x04 - Episode Four",216
"6273","robert, earl of grantham"," Ah, good morning, Anna.",22,"02x04 - Episode Four",217
"6274","anna bates"," You sent for me, milord?",22,"02x04 - Episode Four",218
"6275","robert, earl of grantham"," I did. Come in. I have something to tell you, but I hope I'm right. Carson didn't want you to be troubled with it.",22,"02x04 - Episode Four",219
"6276","anna bates"," Is this about Mr Bates, milord?",22,"02x04 - Episode Four",220
"6277","robert, earl of grantham"," Yes, it is. I've no wish to upset you, but it seems he may be back in Yorkshire working in a public house. We don't yet know where.",22,"02x04 - Episode Four",221
"6278","anna bates"," The Red Lion in Kirkbymoorside.",22,"02x04 - Episode Four",222
"6279","robert, earl of grantham"," Oh. You've seen him, then?",22,"02x04 - Episode Four",223
"6280","anna bates"," I have. Yes, milord.",22,"02x04 - Episode Four",224
"6281","robert, earl of grantham"," And he's well?",22,"02x04 - Episode Four",225
"6282","anna bates"," He is. He's not been back to Downton for two reasons. He's hoping to settle certain matters first with Mrs Bates.",22,"02x04 - Episode Four",226
"6283","robert, earl of grantham"," And does he think he can?",22,"02x04 - Episode Four",227
"6284","anna bates"," He believes so, milord.",22,"02x04 - Episode Four",228
"6285","robert, earl of grantham"," Very good. And what is his second reason for avoiding us?",22,"02x04 - Episode Four",229
"6286","anna bates"," He says he parted with Your Lordship on bad terms. He felt it might be embarrassing.",22,"02x04 - Episode Four",230
"6287","robert, earl of grantham"," Well, it is for me to feel embarrassed.",22,"02x04 - Episode Four",231
"6288","mrs patmore"," I had to get out of that kitchen if I'm not to be found dead under the table. It's like cooking a banquet three times a day.",23,"02x04 - Episode Four",232
"6289","daisy mason"," It is a lot of extra work, whatever they say. Even with the helpers.",23,"02x04 - Episode Four",233
"6290","mrs patmore"," Huh. Don't think they lighten the load.",23,"02x04 - Episode Four",234
"6291","mrs patmore"," Mrs Bird? What's going on?",23,"02x04 - Episode Four",235
"6292","mrs bird"," I knew I'd be found out sooner or later. At least it's you.",23,"02x04 - Episode Four",236
"6293","mrs patmore"," Found out doing what?",23,"02x04 - Episode Four",237
"6294","mrs bird"," What does it look like?",23,"02x04 - Episode Four",238
"6295","mrs patmore"," Well, I don't know what it looks like. Except some kind of soup kitchen.",23,"02x04 - Episode Four",239
"6296","mrs bird"," You better come inside.",23,"02x04 - Episode Four",240
"6297","mrs bird"," One at a time. Take a piece of bread",24,"02x04 - Episode Four",241
"6298","mrs patmore"," Right. Daisy, stand there. Give them a bowl and a spoon. When did all this start?",24,"02x04 - Episode Four",242
"6299","mrs bird"," That fella turned up asking for food. Then he came back next day with a friend. And here we are.",24,"02x04 - Episode Four",243
"6300","daisy mason"," What does Mrs Crawley say?",24,"02x04 - Episode Four",244
"6301","mrs bird"," She doesn't know yet. I suppose she'll put a stop to it when she gets back from France.",24,"02x04 - Episode Four",245
"6302","mrs patmore"," I hope not.",24,"02x04 - Episode Four",246
"6303","mrs bird"," To be honest, Mrs Patmore, I'm not sure I can manage much longer.",24,"02x04 - Episode Four",247
"6304","mrs patmore"," Well, how often do you do it?",24,"02x04 - Episode Four",248
"6305","mrs bird"," Plan to get it down to once a week and give 'em only the cheapest cuts, but it is my money. And I don't know how much--",24,"02x04 - Episode Four",249
"6306","mrs patmore"," No, hold it right there. If we can't feed a few soldiers in our own village, them as have taken the bullet or worse for king and country, then I don't know what.",24,"02x04 - Episode Four",250
"6307","daisy mason"," Sorry about this, milady. Only there's no footmen to do it now.",25,"02x04 - Episode Four",251
"6308","lady edith"," I don't mind. You better run before Mrs Hughes sees you.",25,"02x04 - Episode Four",252
"6309","daisy mason"," Milady, could I ask something?",25,"02x04 - Episode Four",253
"6310","daisy mason"," Only, William, who was in service here…",25,"02x04 - Episode Four",254
"6311","lady edith"," I know William.",25,"02x04 - Episode Four",255
"6312","daisy mason"," Well, he's missing. That is, he was supposed to be back on leave, but he never turned up. He wrote he was coming home for a few days with Captain Crawley.",25,"02x04 - Episode Four",256
"6313","lady edith"," Is William your beau?",25,"02x04 - Episode Four",257
"6314","daisy mason"," I wouldn't say that. No, milady. We're all very fond of William downstairs.",25,"02x04 - Episode Four",258
"6315","lady edith"," Of course you are. Well, I'm sure it's nothing, but I'll see what I can find out.",25,"02x04 - Episode Four",259
"6316","daisy mason"," Thank you.",25,"02x04 - Episode Four",260
"6317","robert, earl of grantham"," But how do you know they didn't change their plans?",26,"02x04 - Episode Four",261
"6318","lady edith"," Well, of course I don't, but the poor girl seemed quite certain.",26,"02x04 - Episode Four",262
"6319","robert, earl of grantham"," Just when Isobel is away and none of us know where she is. Typical.",26,"02x04 - Episode Four",263
"6320","lady edith"," I suppose Matthew might've heard from Cousin Isobel and decided to meet up in France instead.",26,"02x04 - Episode Four",264
"6321","robert, earl of grantham"," But that wouldn't explain why William isn't here. I'll do what I can.",26,"02x04 - Episode Four",265
"6322","mrs patmore"," No! Don't stop stirring, the bottom'll burn.",27,"02x04 - Episode Four",266
"6323","mrs patmore"," You can leave those to Daisy. That's it Daisy. Put them in the special storage area. What do you want?",27,"02x04 - Episode Four",267
"6324","miss o'brien"," Can I borrow some baking soda?",27,"02x04 - Episode Four",268
"6325","mrs patmore"," Borrow? Why? Are you planning to give it back?",27,"02x04 - Episode Four",269
"6326","robert, earl of grantham"," I'm afraid I do. Can you get Pratt to take you in the other car?",29,"02x04 - Episode Four",270
"6327","cora, countess of grantham"," Doesn't matter, I can go on Monday. But why?",29,"02x04 - Episode Four",271
"6328","robert, earl of grantham"," I'm told Bates is working at a public house in Kirkbymoorside. I want to investigate.",29,"02x04 - Episode Four",272
"6329","violet, dowager countess of grantham"," I can't decide which part of that speech is the most extraordinary. Why can't someone else go?",29,"02x04 - Episode Four",273
"6330","robert, earl of grantham"," Because I want to go myself.",29,"02x04 - Episode Four",274
"6331","violet, dowager countess of grantham"," So, Sybil, what are you up to, dear?",29,"02x04 - Episode Four",275
"6332","lady sybil"," Nothing much. Working. I don't have time to get up to anything else.",29,"02x04 - Episode Four",276
"6333","violet, dowager countess of grantham"," Only, Mary and I were talking about you. You know, the other day.",29,"02x04 - Episode Four",277
"6334","lady sybil"," Oh?",29,"02x04 - Episode Four",278
"6335","lady mary"," I didn't say anything.",29,"02x04 - Episode Four",279
"6336","violet, dowager countess of grantham"," Yes, you see, sometimes in war, one can make friendships that aren't quite…appropriate. And can be awkward, you know, later on. I mean, we've all done it. I just want you to be on your guard.",29,"02x04 - Episode Four",280
"6337","lady sybil"," Appropriate for whom?",29,"02x04 - Episode Four",281
"6338","violet, dowager countess of grantham"," Well, don't jump down my throat, dear. I'm only offering friendly advice.",29,"02x04 - Episode Four",282
"6339","cora, countess of grantham"," Why do you want to see Bates? To give him his old job back?",29,"02x04 - Episode Four",283
"6340","robert, earl of grantham"," Not entirely. I mainly want to see him because we parted badly.",29,"02x04 - Episode Four",284
"6341","robert, earl of grantham"," Telephone call for you, milord.",29,"02x04 - Episode Four",285
"6342","cora, countess of grantham"," If you did, I'm sure it's his fault.",29,"02x04 - Episode Four",286
"6343","robert, earl of grantham"," No, it was mine.",29,"02x04 - Episode Four",287
"6344","violet, dowager countess of grantham"," Oh, really. It's like living in a second rate hotel where the guests keep arriving and no one seems to leave. (sigh)",29,"02x04 - Episode Four",288
"6345","robert, earl of grantham"," I see.",30,"02x04 - Episode Four",289
"6346","cora, countess of grantham"," I had an idea of going up to London for some…",30,"02x04 - Episode Four",290
"6347","robert, earl of grantham"," Yes. Thank you for letting me know.",30,"02x04 - Episode Four",291
"6348","lady edith"," Are you all right, Papa?",30,"02x04 - Episode Four",292
"6349","robert, earl of grantham"," That was the war office. Matthew and William went out on a patrol a few days ago and they haven't been seen since.",30,"02x04 - Episode Four",293
"6350","lady edith"," Oh, my God.",30,"02x04 - Episode Four",294
"6351","robert, earl of grantham"," Let's not fall to pieces quite yet. It happens all the time, apparently, and the men turn up in one field hospital or another.",30,"02x04 - Episode Four",295
"6352","lady edith"," But they are treating them as Missing In Action?",30,"02x04 - Episode Four",296
"6353","robert, earl of grantham"," It's too early for that. There could be lots of things to explain it.",30,"02x04 - Episode Four",297
"6354","lady edith"," You mean they could've been taken prisoner.",30,"02x04 - Episode Four",298
"6355","robert, earl of grantham"," It's possible. Don't say anything to Mary. Or your mother. Or anyone, in fact. Not yet. I shouldn't really have told you.",30,"02x04 - Episode Four",299
"6356","lady edith"," What about Cousin Isobel?",30,"02x04 - Episode Four",300
"6357","robert, earl of grantham"," I don't know how to contact her. Anyway, she's in France. She may hear before we do.",30,"02x04 - Episode Four",301
"6358","miss o'brien"," I'm not accusing her of anything. I did wonder if you were aware of this special storage area.",31,"02x04 - Episode Four",302
"6359","mrs hughes"," I daresay Mrs Patmore has her own system like we all do.",31,"02x04 - Episode Four",303
"6360","miss o'brien"," Right. Well, I'll say goodnight.",31,"02x04 - Episode Four",304
"6361","mrs hughes"," Goodnight.",31,"02x04 - Episode Four",305
"6362","mrs hughes"," Ah, Mr Molesley. You're very late.",31,"02x04 - Episode Four",306
"6363","mr molesley"," I was doing some invisible mending on one of his coats. I got a bit carried away. But I'm-- I'm quite pleased with the way it turned out.",31,"02x04 - Episode Four",307
"6364","mrs hughes"," I don't see why you can't dress him. Until there's a new valet, it'd be a blessing to Mr Carson.",31,"02x04 - Episode Four",308
"6365","mr molesley"," I'd be happy to if it'd help.",31,"02x04 - Episode Four",309
"6366","mrs hughes"," Keep this up and we won't be able to do without you at all.",31,"02x04 - Episode Four",310
"6367","mr molesley"," There's no reason why you should. Oh, er, I may be wrong, but I thought I saw one of the officers by the main staircase just now. I'm sure there's a perfectly reasonable explanation.",31,"02x04 - Episode Four",311
"6368","mrs hughes"," Let's hope so. Goodnight.",31,"02x04 - Episode Four",312
"6369","major bryant"," What the bloody...?",31,"02x04 - Episode Four",313
"6370","mrs hughes"," Ethel!",31,"02x04 - Episode Four",314
"6371","major bryant"," We were only--",31,"02x04 - Episode Four",315
"6372","mrs hughes"," I know precisely what you were doing, Major. I may not be a woman of the world, but I don't live in a sack! Now, if you will kindly take your things and go downstairs.",31,"02x04 - Episode Four",316
"6373","mrs hughes"," Ethel, you are dismissed without notice and without a character. You will please leave before breakfast.",31,"02x04 - Episode Four",317
"6374","ethel"," I didn't think how--",31,"02x04 - Episode Four",318
"6375","mrs hughes"," No. And that's a problem. You never do.",31,"02x04 - Episode Four",319
"6376","mrs bird"," And you're not nervous?",32,"02x04 - Episode Four",320
"6377","mr molesley"," Well, I gather His Lordship knows his own mind, but I've no difficulty with that.",32,"02x04 - Episode Four",321
"6378","mrs bird"," You'll enjoy working in a big household. Better than staring at me night after night. What would you say if they ask you to stay?",32,"02x04 - Episode Four",322
"6379","mr molesley"," It would be a big step up for me, there's no point in denying it.",32,"02x04 - Episode Four",323
"6380","mrs bird"," Because I think they might.",32,"02x04 - Episode Four",324
"6381","mr molesley"," Do you really, Mrs Bird?",32,"02x04 - Episode Four",325
"6382","mrs bird"," There goes Mr Molesley, valet to the Earl of Grantham.",32,"02x04 - Episode Four",326
"6383","mr molesley"," Stop it.",32,"02x04 - Episode Four",327
"6384","anna bates"," But why? What could you have possibly done that's so terrible?",33,"02x04 - Episode Four",328
"6385","ethel"," Have you taken everything of mine from there?",33,"02x04 - Episode Four",329
"6386","anna bates"," Would you like me to speak to her? Because I can.",33,"02x04 - Episode Four",330
"6387","ethel"," No, she wouldn't listen.",33,"02x04 - Episode Four",331
"6388","anna bates"," She's not a bad person, Mrs Hughes. I know she can be strict, but she's not--",33,"02x04 - Episode Four",332
"6389","ethel"," She wouldn't listen.",33,"02x04 - Episode Four",333
"6390","robert, earl of grantham"," We're closed.",34,"02x04 - Episode Four",334
"6391","anna bates"," I know Ethel can be difficult, but she was very sorry for her mistake, whatever it was.",35,"02x04 - Episode Four",335
"6392","mrs hughes"," I'm sure. It's cost her her job.",35,"02x04 - Episode Four",336
"6393","anna bates"," But surely--",35,"02x04 - Episode Four",337
"6394","mrs hughes"," Nevermind why she's gone. She's gone. And there's an end to it. By the way, I hear Mr Bates is back in the county. Mr Carson says you know all about it. I gather His Lordship has gone to see him.",35,"02x04 - Episode Four",338
"6395","anna bates"," I know. He told me he was going.",35,"02x04 - Episode Four",339
"6396","mrs hughes"," Why in heavens name didn't you mention any of it to me?",35,"02x04 - Episode Four",340
"6397","anna bates"," It wasn't my secret to tell.",35,"02x04 - Episode Four",341
"6398","robert, earl of grantham"," I'm glad to hear it. But Carson said your wife made all sorts of threats.",36,"02x04 - Episode Four",342
"6399","mr bates"," She won't carry them out. Not now. Since I've left Downton, I've discovered that she was untrue to me. I may have been as bad in my heart, milord, but I've done nothing to be ashamed of. The point is, I can divorce her now, whether she likes it or not.",36,"02x04 - Episode Four",343
"6400","robert, earl of grantham"," But what's to stop her blurting out her stories to the press?",36,"02x04 - Episode Four",344
"6401","mr bates"," If she agrees to keep silent, I will give her whatever she wants. She can't hold me now, so her choice is between poverty and plenty.",36,"02x04 - Episode Four",345
"6402","robert, earl of grantham"," And what was the tale she was going to tell? Carson never made it clear.",36,"02x04 - Episode Four",346
"6403","mr bates"," Some silly nonsense, milord. I wouldn't waste your time with it. What's the news from Downton?",36,"02x04 - Episode Four",347
"6404","mrs hughes"," Daisy, you're not to worry about William. I spoke to His Lordship earlier. He says you're not to be concerned until we know more.",37,"02x04 - Episode Four",348
"6405","daisy mason"," But he is missing. I mean, they don't know where he is, or Captain Crawley, do they?",37,"02x04 - Episode Four",349
"6406","mrs hughes"," There could be a hundred explanations.",37,"02x04 - Episode Four",350
"6407","miss o'brien"," Yes. And one of them is that they're dead. Don't mistake me. I hope very much they're not. But we ought to face the truth.",37,"02x04 - Episode Four",351
"6408","mrs hughes"," What may be the truth. And what very well may not.",37,"02x04 - Episode Four",352
"6409","mrs hughes"," Anna, do you think that Mr Bates will come back?",37,"02x04 - Episode Four",353
"6410","anna bates"," That's for him to say.",37,"02x04 - Episode Four",354
"6411","daisy mason"," I hope he does. He always seems a romantic figure to me.",37,"02x04 - Episode Four",355
"6412","miss o'brien"," Does he? How do you define romantic?",37,"02x04 - Episode Four",356
"6413","mrs hughes"," Why is that, Thomas? Because a place is already taken?",37,"02x04 - Episode Four",357
"6414","robert, earl of grantham"," I hate the word ""missing."" It seems to leave so little room for optimism. I tell myself it's too early to despair...but to be honest, Bates, I don't think I can bear it. Losing Patrick was bad enough, but now the thought o Matthew gone...and the future once again destroyed. More than all that, I loved him like a son. No, I love him. Let's stay in the present tense while we still can. So, will you come back with me and help me through the veil of shadow?",38,"02x04 - Episode Four",358
"6415","mr bates"," It's not what I expected, my lord, but I will, if you want me to.",38,"02x04 - Episode Four",359
"6416","robert, earl of grantham"," I misjudged you Bates, and I abused you when we parted. I should've had more faith. I'm sorry.",38,"02x04 - Episode Four",360
"6417","mr bates"," God knows, you've shown more faith in my than I had any right to.",38,"02x04 - Episode Four",361
"6418","lady mary"," Sybil. I never said anything to Granny, honestly.",40,"02x04 - Episode Four",362
"6419","lady sybil"," Then why did she suddenly start talking about inappropriate friendships out of nowhere?",40,"02x04 - Episode Four",363
"6420","lady mary"," She thinks you must have a beau, and if we don't know about him, then you have to be keeping him secret. It's just Granny being Granny. Don't make such a thing of it.",40,"02x04 - Episode Four",364
"6421","lady sybil"," I don't deserve to be told off. Not by her or by you. Nothing's happened.",40,"02x04 - Episode Four",365
"6422","lady mary"," Why? What might've happened?",40,"02x04 - Episode Four",366
"6423","lady sybil"," I mean it. We haven't kissed or anything. I don't think we've shaken hands. I'm not even sure if I like him like that. He says I do, but I'm still not sure.",40,"02x04 - Episode Four",367
"6424","lady mary"," We are talking about…?",40,"02x04 - Episode Four",368
"6425","lady sybil"," Branson. Yes.",40,"02x04 - Episode Four",369
"6426","lady mary"," The chauffeur? Branson?",40,"02x04 - Episode Four",370
"6427","lady sybil"," Oh, how disappointing of you.",40,"02x04 - Episode Four",371
"6428","lady mary"," I'm just trying to get it straight in my head. You and the chauffeur.",40,"02x04 - Episode Four",372
"6429","lady sybil"," Oh, no, you know I don't care about all of that.",40,"02x04 - Episode Four",373
"6430","lady mary"," Oh, darling, darling, don't be such a baby. This isn't fairyland. What did you think? You'd marry the chauffeur and we'd all come to tea?",40,"02x04 - Episode Four",374
"6431","lady sybil"," Don't be silly. I told you, I don't even think I like him.",40,"02x04 - Episode Four",375
"6432","lady mary"," What has he said to you?",40,"02x04 - Episode Four",376
"6433","lady sybil"," That he loves me and he wants me to run away with him.",40,"02x04 - Episode Four",377
"6434","lady mary"," Good God in heaven.",40,"02x04 - Episode Four",378
"6435","lady sybil"," He is frightfully full of himself.",40,"02x04 - Episode Four",379
"6436","lady mary"," You don't say.",40,"02x04 - Episode Four",380
"6437","lady sybil"," I haven't encouraged him. I haven't said anything, really.",40,"02x04 - Episode Four",381
"6438","lady mary"," You haven't given him away, though?",40,"02x04 - Episode Four",382
"6439","lady sybil","Will you?",40,"02x04 - Episode Four",383
"6440","lady mary"," Well, I won't betray him on one condition",40,"02x04 - Episode Four",384
"6441","lady mary"," You must promise now, or I'll tell Papa tonight.",40,"02x04 - Episode Four",385
"6442","lady sybil","I promise.",40,"02x04 - Episode Four",386
"6443","mrs hughes"," Mr Bates. You're a sight for sore eyes. Welcome home.",41,"02x04 - Episode Four",387
"6444","mr bates"," Thank you, Mrs Hughes.",41,"02x04 - Episode Four",388
"6445","anna bates"," Thought it was you.",41,"02x04 - Episode Four",389
"6446","mr bates"," Hello.",41,"02x04 - Episode Four",390
"6447","mrs hughes"," Come a way in, and give some substance to the gossip of your return.",41,"02x04 - Episode Four",391
"6448","mr carson"," You'll find things a bit different from when you left, Mr Bates.",41,"02x04 - Episode Four",392
"6449","mr bates"," Downton at war?",41,"02x04 - Episode Four",393
"6450","mr carson"," Precisely. There's some extra help in the kitchen, all very nice people. And the nurses of course, but they live down at the hospital.",41,"02x04 - Episode Four",394
"6451","anna bates"," Except for Lady Sybil.",41,"02x04 - Episode Four",395
"6452","thomas"," Nurse Crawley, please.",41,"02x04 - Episode Four",396
"6453","mr bates"," So, we've both returned, you and I. Couple of bad pennies.",41,"02x04 - Episode Four",397
"6454","thomas"," I haven't.",41,"02x04 - Episode Four",398
"6455","miss o'brien"," Thomas means he's not here as a servant. He manages the house. He's a sergeant now.",41,"02x04 - Episode Four",399
